college_name,department,cutoff_oc,cutoff_bc,cutoff_mbc,cutoff_bcm,cutoff_sc,cutoff_st,cutoff_sca
"Jeppiaar Engineering College - Sholinganallur, Chennai",BIO TECHNOLOGY,149.5,144.5,127.5,,122.0,,
"Jeppiaar Engineering College - Sholinganallur, Chennai",COMPUTER SCIENCE AND ENGINEERING,167.0,161.0,159.0,152.0,132.0,,
"Jeppiaar Engineering College - Sholinganallur, Chennai",ELECTRONICS AND COMMUNICATION ENGINEERING,161.5,155.5,152.0,144.5,113.5,,
"Jeppiaar Engineering College - Sholinganallur, Chennai",ELECTRICAL AND ELECTRONICS ENGINEERING,155.0,150.0,140.0,138.5,108.5,,
"Jeppiaar Engineering College - Sholinganallur, Chennai",INFORMATION TECHNOLOGY,163.0,157.0,154.5,148.0,125.0,,
"Jeppiaar Engineering College - Sholinganallur, Chennai",MECHANICAL ENGINEERING,139.0,94.5,115.0,,108.5,,
"Jerusalem College of Engineering - Pallikkaranai, Chennai [Kanchipuram(Dist)]",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,165.0,149.5,151.5,157.5,118.5,,141.0
"Jerusalem College of Engineering - Pallikkaranai, Chennai [Kanchipuram(Dist)]",COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),155.0,144.0,143.5,154.5,122.5,,
"Jerusalem College of Engineering - Pallikkaranai, Chennai [Kanchipuram(Dist)]",BIO MEDICAL ENGINEERING,136.5,99.0,106.0,,106.0,,
"Jerusalem College of Engineering - Pallikkaranai, Chennai [Kanchipuram(Dist)]",COMPUTER SCIENCE AND BUSSINESS SYSTEM,155.0,143.5,141.0,137.5,128.0,,
"Jerusalem College of Engineering - Pallikkaranai, Chennai [Kanchipuram(Dist)]",COMPUTER SCIENCE AND ENGINEERING,159.5,150.0,146.5,154.5,132.0,,121.5
"Jerusalem College of Engineering - Pallikkaranai, Chennai [Kanchipuram(Dist)]",ELECTRONICS AND COMMUNICATION ENGINEERING,156.0,143.0,142.0,,123.0,,
"Jerusalem College of Engineering - Pallikkaranai, Chennai [Kanchipuram(Dist)]",ELECTRICAL AND ELECTRONICS ENGINEERING,152.5,139.0,126.0,,114.5,,
"Jerusalem College of Engineering - Pallikkaranai, Chennai [Kanchipuram(Dist)]",INFORMATION TECHNOLOGY,156.0,146.5,144.5,152.5,127.5,,
"Jerusalem College of Engineering - Pallikkaranai, Chennai [Kanchipuram(Dist)]",COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),152.0,142.0,139.0,146.5,112.0,,
"Meenakshi Sundararajan Engineering College -Kodambakkam,Chennai",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,172.0,166.0,163.5,170.0,142.5,,134.5
"Meenakshi Sundararajan Engineering College -Kodambakkam,Chennai",CIVIL ENGINEERING,128.0,105.0,97.5,110.5,104.5,,
"Meenakshi Sundararajan Engineering College -Kodambakkam,Chennai",COMPUTER SCIENCE AND ENGINEERING,179.5,173.5,165.0,172.5,164.0,133.0,132.0
"Meenakshi Sundararajan Engineering College -Kodambakkam,Chennai",ELECTRONICS AND COMMUNICATION ENGINEERING,172.5,165.5,161.5,169.5,132.0,,116.0
"Meenakshi Sundararajan Engineering College -Kodambakkam,Chennai",ELECTRICAL AND ELECTRONICS ENGINEERING,160.5,154.0,146.0,143.0,117.5,,
"Meenakshi Sundararajan Engineering College -Kodambakkam,Chennai",INFORMATION TECHNOLOGY,172.5,167.5,162.5,170.5,146.5,112.0,112.5
"Meenakshi Sundararajan Engineering College -Kodambakkam,Chennai",MECHANICAL ENGINEERING,149.0,125.0,120.5,113.0,118.5,,
"M.N.M Jain Engineering College - Okkam Thoraipakkam, Chennai [Kanchipuram(Dist)]",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,154.0,136.5,135.5,125.0,112.0,,
"M.N.M Jain Engineering College - Okkam Thoraipakkam, Chennai [Kanchipuram(Dist)]",COMPUTER SCIENCE AND BUSSINESS SYSTEM,147.0,126.5,125.0,,107.0,,
"M.N.M Jain Engineering College - Okkam Thoraipakkam, Chennai [Kanchipuram(Dist)]",CIVIL ENGINEERING,107.0,,,,,,
"M.N.M Jain Engineering College - Okkam Thoraipakkam, Chennai [Kanchipuram(Dist)]",COMPUTER SCIENCE AND ENGINEERING,164.0,142.5,151.0,125.0,114.5,,
"M.N.M Jain Engineering College - Okkam Thoraipakkam, Chennai [Kanchipuram(Dist)]",ELECTRONICS AND COMMUNICATION ENGINEERING,142.0,116.5,109.5,134.5,107.0,,
"M.N.M Jain Engineering College - Okkam Thoraipakkam, Chennai [Kanchipuram(Dist)]",ELECTRICAL AND ELECTRONICS ENGINEERING,101.0,,,,,,
"M.N.M Jain Engineering College - Okkam Thoraipakkam, Chennai [Kanchipuram(Dist)]",INFORMATION TECHNOLOGY,151.5,129.0,129.5,139.5,104.0,,
"M.N.M Jain Engineering College - Okkam Thoraipakkam, Chennai [Kanchipuram(Dist)]",MECHANICAL ENGINEERING,105.5,,,,,,
"K.C.G College of Technology - Karapakkam , Chennai [Kanchipuram(Dist)]",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,168.0,164.0,159.5,162.5,138.0,,
"K.C.G College of Technology - Karapakkam , Chennai [Kanchipuram(Dist)]",AERONAUTICAL ENGINEERING,165.5,158.0,149.0,159.0,123.5,,
"K.C.G College of Technology - Karapakkam , Chennai [Kanchipuram(Dist)]",AEROSPACE ENGINEERING,178.5,164.0,167.5,148.0,150.5,,
"K.C.G College of Technology - Karapakkam , Chennai [Kanchipuram(Dist)]",AUTOMOBILE ENGINEERING,135.0,122.0,103.0,,98.0,,
"K.C.G College of Technology - Karapakkam , Chennai [Kanchipuram(Dist)]",CIVIL ENGINEERING,111.5,98.0,,,,103.0,
"K.C.G College of Technology - Karapakkam , Chennai [Kanchipuram(Dist)]",COMPUTER SCIENCE AND ENGINEERING,169.5,162.5,157.5,160.5,133.5,133.5,
"K.C.G College of Technology - Karapakkam , Chennai [Kanchipuram(Dist)]",ELECTRONICS AND COMMUNICATION ENGINEERING,165.5,158.0,155.0,163.0,124.5,,
"K.C.G College of Technology - Karapakkam , Chennai [Kanchipuram(Dist)]",ELECTRICAL AND ELECTRONICS ENGINEERING,160.0,153.5,142.5,137.5,115.0,,
"K.C.G College of Technology - Karapakkam , Chennai [Kanchipuram(Dist)]",FASHION TECHNOLOGY,134.0,119.5,109.5,,,,
"K.C.G College of Technology - Karapakkam , Chennai [Kanchipuram(Dist)]",INFORMATION TECHNOLOGY,165.5,160.0,155.5,164.0,137.0,,
"K.C.G College of Technology - Karapakkam , Chennai [Kanchipuram(Dist)]",MECHANICAL ENGINEERING,152.5,146.0,129.0,123.0,106.5,,
"K.C.G College of Technology - Karapakkam , Chennai [Kanchipuram(Dist)]",MECHATRONICS ENGINEERING,155.5,152.5,148.0,144.5,114.5,,
"K.C.G College of Technology - Karapakkam , Chennai [Kanchipuram(Dist)]",COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),167.0,160.5,156.0,162.5,142.5,,
"Sri Sivasubramaniya Nadar College of Engineering - Thiruporur, Kanchipuram(Dist)",BIO MEDICAL ENGINEERING,191.0,189.0,187.0,190.5,167.0,,166.5
"Sri Sivasubramaniya Nadar College of Engineering - Thiruporur, Kanchipuram(Dist)",CIVIL ENGINEERING,188.5,185.0,183.0,188.0,166.5,,126.0
"Sri Sivasubramaniya Nadar College of Engineering - Thiruporur, Kanchipuram(Dist)",CHEMICAL ENGINEERING,190.5,187.5,187.5,189.5,168.5,158.0,135.0
"Sri Sivasubramaniya Nadar College of Engineering - Thiruporur, Kanchipuram(Dist)",M.TECH. COMPUTER SCIENCE AND ENGINEERING (INTEGRATED 5 YEARS),195.0,194.0,192.5,194.5,183.0,,161.0
"Sri Sivasubramaniya Nadar College of Engineering - Thiruporur, Kanchipuram(Dist)",COMPUTER SCIENCE AND ENGINEERING,198.5,197.5,196.5,197.0,191.5,178.0,184.0
"Sri Sivasubramaniya Nadar College of Engineering - Thiruporur, Kanchipuram(Dist)",ELECTRONICS AND COMMUNICATION ENGINEERING,197.0,196.0,195.0,196.5,189.0,170.5,178.0
"Sri Sivasubramaniya Nadar College of Engineering - Thiruporur, Kanchipuram(Dist)",ELECTRICAL AND ELECTRONICS ENGINEERING,195.0,194.5,192.5,193.5,182.0,168.5,159.0
"Sri Sivasubramaniya Nadar College of Engineering - Thiruporur, Kanchipuram(Dist)",INFORMATION TECHNOLOGY,197.0,196.5,195.5,196.5,189.5,,178.0
"Sri Sivasubramaniya Nadar College of Engineering - Thiruporur, Kanchipuram(Dist)",MECHANICAL ENGINEERING,192.0,190.5,189.5,190.0,175.5,159.5,156.5
"Vel's Srinivasa College of Engineering and Technology - Navalur,Chennai [Kanchipuram(Dist)]",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,157.0,141.5,142.0,157.0,136.0,,122.0
"Vel's Srinivasa College of Engineering and Technology - Navalur,Chennai [Kanchipuram(Dist)]",BIO MEDICAL ENGINEERING,136.0,86.0,112.0,,103.5,,
"Vel's Srinivasa College of Engineering and Technology - Navalur,Chennai [Kanchipuram(Dist)]",CIVIL ENGINEERING,129.0,107.0,106.5,,108.5,,
"Vel's Srinivasa College of Engineering and Technology - Navalur,Chennai [Kanchipuram(Dist)]",CHEMICAL ENGINEERING,130.0,99.0,115.0,113.0,96.5,,
"Vel's Srinivasa College of Engineering and Technology - Navalur,Chennai [Kanchipuram(Dist)]",COMPUTER SCIENCE AND ENGINEERING,154.0,139.5,134.5,128.0,112.0,97.5,112.0
"Vel's Srinivasa College of Engineering and Technology - Navalur,Chennai [Kanchipuram(Dist)]",ELECTRONICS AND COMMUNICATION ENGINEERING,158.0,142.0,135.5,136.5,111.5,,
"Vel's Srinivasa College of Engineering and Technology - Navalur,Chennai [Kanchipuram(Dist)]",ELECTRICAL AND ELECTRONICS ENGINEERING,148.0,132.0,119.0,,103.0,,
"Vel's Srinivasa College of Engineering and Technology - Navalur,Chennai [Kanchipuram(Dist)]",INFORMATION TECHNOLOGY,145.0,136.5,132.0,121.0,116.0,,
"Vel's Srinivasa College of Engineering and Technology - Navalur,Chennai [Kanchipuram(Dist)]",MECHANICAL ENGINEERING,125.5,100.5,103.5,,115.5,,
"Vel's Srinivasa College of Engineering and Technology - Navalur,Chennai [Kanchipuram(Dist)]",MECHATRONICS ENGINEERING,142.5,117.5,122.5,115.5,101.5,,
"St.Joseph's College of Engineering - Sholinganallur, Chennai [Kanchipuram(Dist)]",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,176.5,171.5,166.5,167.5,135.5,105.5,104.5
"St.Joseph's College of Engineering - Sholinganallur, Chennai [Kanchipuram(Dist)]",ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,172.5,169.0,164.5,162.0,140.5,,
"St.Joseph's College of Engineering - Sholinganallur, Chennai [Kanchipuram(Dist)]",BIO TECHNOLOGY,169.0,159.0,155.0,156.5,132.0,,
"St.Joseph's College of Engineering - Sholinganallur, Chennai [Kanchipuram(Dist)]",CHEMICAL ENGINEERING,166.5,150.0,118.0,140.0,90.5,,
"St.Joseph's College of Engineering - Sholinganallur, Chennai [Kanchipuram(Dist)]",COMPUTER SCIENCE AND ENGINEERING,185.0,177.5,176.5,176.5,150.5,151.5,128.0
"St.Joseph's College of Engineering - Sholinganallur, Chennai [Kanchipuram(Dist)]",ELECTRONICS AND COMMUNICATION ENGINEERING,181.5,175.0,167.5,178.0,138.0,,
"St.Joseph's College of Engineering - Sholinganallur, Chennai [Kanchipuram(Dist)]",ELECTRICAL AND ELECTRONICS ENGINEERING,165.5,161.0,155.0,157.0,125.5,,
"St.Joseph's College of Engineering - Sholinganallur, Chennai [Kanchipuram(Dist)]",INFORMATION TECHNOLOGY,179.0,174.5,168.5,172.0,141.5,122.0,
"St.Joseph's College of Engineering - Sholinganallur, Chennai [Kanchipuram(Dist)]",MECHANICAL ENGINEERING,150.0,137.5,127.0,120.0,109.0,,
"St.Joseph's College of Engineering - Sholinganallur, Chennai [Kanchipuram(Dist)]",MECHATRONICS ENGINEERING,167.5,157.5,153.5,117.5,135.5,,
"St.Joseph's College of Engineering - Sholinganallur, Chennai [Kanchipuram(Dist)]",COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),176.0,173.0,167.5,167.0,141.0,,
"T.J Institute of Technology - Karapakkam, Chennai[Kanchipuram(Dist)]",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,92.0,,92.0,,,,
"T.J Institute of Technology - Karapakkam, Chennai[Kanchipuram(Dist)]",COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),84.5,,,,,,
"T.J Institute of Technology - Karapakkam, Chennai[Kanchipuram(Dist)]",COMPUTER SCIENCE AND ENGINEERING,82.0,,,,,,
"T.J Institute of Technology - Karapakkam, Chennai[Kanchipuram(Dist)]",ELECTRONICS AND COMMUNICATION ENGINEERING,110.5,,,,,,
"T.J Institute of Technology - Karapakkam, Chennai[Kanchipuram(Dist)]",INFORMATION TECHNOLOGY,90.5,,,,,,
"T.J Institute of Technology - Karapakkam, Chennai[Kanchipuram(Dist)]",COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),91.0,,,,,,
"Thangavelu Engineering College -Karapakkam, Chennai [Kanchipuram(Dist)]",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,115.5,87.0,102.0,,98.0,,
"Thangavelu Engineering College -Karapakkam, Chennai [Kanchipuram(Dist)]",COMPUTER SCIENCE AND ENGINEERING,91.0,,,,,,
"Thangavelu Engineering College -Karapakkam, Chennai [Kanchipuram(Dist)]",ELECTRONICS AND COMMUNICATION ENGINEERING,91.5,,,,,,
"Thangavelu Engineering College -Karapakkam, Chennai [Kanchipuram(Dist)]",ELECTRONICS AND INSTRUMENTATION ENGINEERING,100.0,,,,,,
"Thangavelu Engineering College -Karapakkam, Chennai [Kanchipuram(Dist)]",INFORMATION TECHNOLOGY,120.5,,,,,,
"Thangavelu Engineering College -Karapakkam, Chennai [Kanchipuram(Dist)]",MECHANICAL ENGINEERING,107.0,,,,,,
"Central Institute of Plastics Engineering and Technology - Guindy, Chennai",MANUFACTURING ENGINEERING,171.5,158.0,153.5,155.0,140.5,,126.0
"Central Institute of Plastics Engineering and Technology - Guindy, Chennai",PLASTIC TECHNOLOGY,172.5,158.0,155.5,166.0,143.0,146.0,127.0
"Dhanalakshmi Srinivasan College of Engineering and Technology -ECR , Poonjeri,Ã‚ Kancheepuram (Dist)",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,134.5,87.0,90.5,93.5,97.0,,92.0
"Dhanalakshmi Srinivasan College of Engineering and Technology -ECR , Poonjeri,Ã‚ Kancheepuram (Dist)",AERONAUTICAL ENGINEERING,111.5,109.0,102.0,,97.0,,
"Dhanalakshmi Srinivasan College of Engineering and Technology -ECR , Poonjeri,Ã‚ Kancheepuram (Dist)",AGRICULTURAL ENGINEERING,96.0,,,,,,
"Dhanalakshmi Srinivasan College of Engineering and Technology -ECR , Poonjeri,Ã‚ Kancheepuram (Dist)",COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),105.0,101.5,99.5,,84.5,,
"Dhanalakshmi Srinivasan College of Engineering and Technology -ECR , Poonjeri,Ã‚ Kancheepuram (Dist)",BIO MEDICAL ENGINEERING,109.0,,86.0,105.0,98.5,,
"Dhanalakshmi Srinivasan College of Engineering and Technology -ECR , Poonjeri,Ã‚ Kancheepuram (Dist)",CIVIL ENGINEERING,99.0,,,,,,
"Dhanalakshmi Srinivasan College of Engineering and Technology -ECR , Poonjeri,Ã‚ Kancheepuram (Dist)",COMPUTER SCIENCE AND ENGINEERING,133.5,93.5,92.0,121.0,101.0,91.5,121.0
"Dhanalakshmi Srinivasan College of Engineering and Technology -ECR , Poonjeri,Ã‚ Kancheepuram (Dist)",ELECTRONICS AND COMMUNICATION ENGINEERING,139.0,106.5,112.0,105.0,80.5,,100.0
"Dhanalakshmi Srinivasan College of Engineering and Technology -ECR , Poonjeri,Ã‚ Kancheepuram (Dist)",ELECTRICAL AND ELECTRONICS ENGINEERING,93.0,,,,,,
"Dhanalakshmi Srinivasan College of Engineering and Technology -ECR , Poonjeri,Ã‚ Kancheepuram (Dist)",FOOD TECHNOLOGY,95.5,,,,,,
"Dhanalakshmi Srinivasan College of Engineering and Technology -ECR , Poonjeri,Ã‚ Kancheepuram (Dist)",INFORMATION TECHNOLOGY,110.5,101.0,98.5,99.0,88.0,,
"Dhanalakshmi Srinivasan College of Engineering and Technology -ECR , Poonjeri,Ã‚ Kancheepuram (Dist)",MECHANICAL ENGINEERING,83.5,,,,,,
"Dhanalakshmi Srinivasan College of Engineering and Technology -ECR , Poonjeri,Ã‚ Kancheepuram (Dist)",COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),132.0,95.0,102.5,111.0,106.0,,
"Sri Sai Ram Institute of Technology - West Tambaram, Chennai [Kanchipuram(Dist)]",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,174.5,171.0,168.0,165.0,150.5,130.5,165.5
"Sri Sai Ram Institute of Technology - West Tambaram, Chennai [Kanchipuram(Dist)]",COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),174.0,169.0,166.5,170.5,142.0,,
"Sri Sai Ram Institute of Technology - West Tambaram, Chennai [Kanchipuram(Dist)]",COMPUTER SCIENCE AND ENGINEERING (INTERNET OF THINGS),171.5,168.0,163.5,170.0,134.5,,
"Sri Sai Ram Institute of Technology - West Tambaram, Chennai [Kanchipuram(Dist)]",COMPUTER AND COMMUNICATION ENGINEERING,171.0,167.5,163.0,167.5,134.0,,
"Sri Sai Ram Institute of Technology - West Tambaram, Chennai [Kanchipuram(Dist)]",COMPUTER SCIENCE AND ENGINEERING,178.5,175.0,170.5,169.0,142.5,,107.5
"Sri Sai Ram Institute of Technology - West Tambaram, Chennai [Kanchipuram(Dist)]",ELECTRONICS AND COMMUNICATION ENGINEERING,176.5,172.5,171.0,166.0,133.5,,
"Sri Sai Ram Institute of Technology - West Tambaram, Chennai [Kanchipuram(Dist)]",ELECTRICAL AND ELECTRONICS ENGINEERING,165.0,163.5,157.0,161.0,130.5,,
"Sri Sai Ram Institute of Technology - West Tambaram, Chennai [Kanchipuram(Dist)]",INFORMATION TECHNOLOGY,174.5,171.0,168.0,169.5,142.5,114.0,
"Sri Sai Ram Institute of Technology - West Tambaram, Chennai [Kanchipuram(Dist)]",MECHANICAL ENGINEERING,149.5,143.0,136.5,138.5,120.0,,
"Sri Sai Ram Institute of Technology - West Tambaram, Chennai [Kanchipuram(Dist)]",COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),174.5,171.5,165.5,169.5,141.5,,
St.Joseph's College of Engineering - Kancheepuram,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,146.0,126.5,110.5,142.0,105.5,111.0,
St.Joseph's College of Engineering - Kancheepuram,COMPUTER SCIENCE AND ENGINEERING,145.0,113.5,104.0,118.0,88.0,111.5,
St.Joseph's College of Engineering - Kancheepuram,ELECTRONICS AND COMMUNICATION ENGINEERING,146.0,120.5,117.5,143.5,115.5,,
St.Joseph's College of Engineering - Kancheepuram,INFORMATION TECHNOLOGY,141.5,113.5,103.0,110.0,102.0,,
St.Joseph's College of Engineering - Kancheepuram,MECHANICAL ENGINEERING,119.0,84.0,92.5,106.5,85.0,,103.5
VI Institute of Technology - Kancheepuram (Dist),ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,85.5,,,,,,
VI Institute of Technology - Kancheepuram (Dist),COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),86.0,,,,,,
VI Institute of Technology - Kancheepuram (Dist),COMPUTER SCIENCE AND ENGINEERING,123.0,,,,,,
VI Institute of Technology - Kancheepuram (Dist),ELECTRONICS AND COMMUNICATION ENGINEERING,115.0,,,,,,
Sri Krishna Institute of Technology- Kancheepuram (Dist),COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),112.5,,,,,,
Sri Krishna Institute of Technology- Kancheepuram (Dist),ELECTRONICS AND COMMUNICATION ENGINEERING,114.5,,,,,,
Sri Krishna Institute of Technology- Kancheepuram (Dist),COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),96.5,,,,,,
"Mahalakshmi Tech Campus No.1, Bharathiar Street Prashanthi Nagar, Chromepet ,Chennai ",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,107.0,,,,,,
"Mahalakshmi Tech Campus No.1, Bharathiar Street Prashanthi Nagar, Chromepet ,Chennai ",COMPUTER SCIENCE AND ENGINEERING,85.0,,,,,,
"Mahalakshmi Tech Campus No.1, Bharathiar Street Prashanthi Nagar, Chromepet ,Chennai ",ELECTRONICS AND COMMUNICATION ENGINEERING,162.0,,,,,,
"Chennai Institute of Technology-Puduper village, Kanchipuram Dist",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,191.5,189.5,187.0,190.0,176.5,140.0,127.5
"Chennai Institute of Technology-Puduper village, Kanchipuram Dist",COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),190.5,189.0,186.5,189.5,171.5,142.5,158.0
"Chennai Institute of Technology-Puduper village, Kanchipuram Dist",BIO MEDICAL ENGINEERING,188.0,184.5,185.0,183.0,169.0,,146.0
"Chennai Institute of Technology-Puduper village, Kanchipuram Dist",COMPUTER SCIENCE AND BUSSINESS SYSTEM,190.0,189.0,187.5,189.5,170.5,138.5,
"Chennai Institute of Technology-Puduper village, Kanchipuram Dist",CIVIL ENGINEERING,183.5,181.0,182.0,183.0,162.965,,
"Chennai Institute of Technology-Puduper village, Kanchipuram Dist",COMPUTER SCIENCE AND ENGINEERING,194.0,191.0,188.5,191.0,172.0,140.0,131.5
"Chennai Institute of Technology-Puduper village, Kanchipuram Dist",ELECTRONICS AND COMMUNICATION (ADVANCED COMMUNICATION TECHNOLOGY),189.5,188.5,187.0,188.5,170.0,,160.5
"Chennai Institute of Technology-Puduper village, Kanchipuram Dist",ELECTRONICS AND COMMUNICATION ENGINEERING,193.0,190.5,189.0,190.0,176.0,143.5,149.5
"Chennai Institute of Technology-Puduper village, Kanchipuram Dist",ELECTRICAL AND ELECTRONICS ENGINEERING,189.0,187.5,185.0,188.5,167.92,124.0,
"Chennai Institute of Technology-Puduper village, Kanchipuram Dist",ELECTRONICS ENGINEERING (VLSI DESIGN AND TECHNOLOGY),189.0,188.0,185.5,189.0,166.26,,164.5
"Chennai Institute of Technology-Puduper village, Kanchipuram Dist",INFORMATION TECHNOLOGY,191.0,190.0,187.5,190.0,170.0,128.0,154.0
"Chennai Institute of Technology-Puduper village, Kanchipuram Dist",MECHANICAL ENGINEERING,184.0,181.89,179.75,183.0,164.775,123.5,150.5
"Chennai Institute of Technology-Puduper village, Kanchipuram Dist",MECHATRONICS ENGINEERING,187.5,186.0,185.0,184.5,165.5,,143.0
"Chennai Institute of Technology-Puduper village, Kanchipuram Dist",COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),190.5,189.0,186.5,189.19,174.0,,155.5
"Mohamed Sathak A.J. Academy of Architecture, No.34, Old Mahabalipuram Road (OMR), Chengalpattu District",BACHELOR OF DESIGN,141.0,,,,,,
"Adhiparasakthi Engineering College - Melmaruvathur,Kancheepuram (Dist)",COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),150.5,111.5,133.0,146.5,111.5,,
"Adhiparasakthi Engineering College - Melmaruvathur,Kancheepuram (Dist)",CIVIL ENGINEERING,84.0,,,,,,
"Adhiparasakthi Engineering College - Melmaruvathur,Kancheepuram (Dist)",CHEMICAL ENGINEERING,92.5,,,,,,
"Adhiparasakthi Engineering College - Melmaruvathur,Kancheepuram (Dist)",COMPUTER SCIENCE AND ENGINEERING,151.5,116.5,131.5,124.0,109.5,,107.0
"Adhiparasakthi Engineering College - Melmaruvathur,Kancheepuram (Dist)",ELECTRONICS AND COMMUNICATION ENGINEERING,125.0,108.0,95.5,89.0,110.0,,
"Adhiparasakthi Engineering College - Melmaruvathur,Kancheepuram (Dist)",ELECTRICAL AND ELECTRONICS ENGINEERING,93.5,,,,,,
"Adhiparasakthi Engineering College - Melmaruvathur,Kancheepuram (Dist)",INFORMATION TECHNOLOGY,146.5,124.5,131.0,119.0,91.5,,
"Adhiparasakthi Engineering College - Melmaruvathur,Kancheepuram (Dist)",MECHANICAL ENGINEERING,88.5,,,,,,
Annai Teresa College of Engineering - Villupuram,COMPUTER SCIENCE AND ENGINEERING,101.0,100.5,85.5,,,,
Annai Teresa College of Engineering - Villupuram,ELECTRONICS AND COMMUNICATION ENGINEERING,80.5,,,,,,
Annai Teresa College of Engineering - Villupuram,ELECTRICAL AND ELECTRONICS ENGINEERING,100.5,,,,,,
"Dhanalakshmi College of Engineering - Manimangalam, Chennai[Kanchipuram(Dist)]",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,148.5,127.5,119.5,133.5,109.0,,106.5
"Dhanalakshmi College of Engineering - Manimangalam, Chennai[Kanchipuram(Dist)]",COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),122.5,98.5,95.0,114.0,112.0,,
"Dhanalakshmi College of Engineering - Manimangalam, Chennai[Kanchipuram(Dist)]",COMPUTER SCIENCE AND ENGINEERING,148.0,127.0,121.5,141.0,116.5,,
"Dhanalakshmi College of Engineering - Manimangalam, Chennai[Kanchipuram(Dist)]",ELECTRONICS AND COMMUNICATION ENGINEERING,135.7347,115.0,112.0,,106.5,,
"Dhanalakshmi College of Engineering - Manimangalam, Chennai[Kanchipuram(Dist)]",ELECTRICAL AND ELECTRONICS ENGINEERING,91.0,,,,,,
"Dhanalakshmi College of Engineering - Manimangalam, Chennai[Kanchipuram(Dist)]",INFORMATION TECHNOLOGY,146.5,124.0,116.5,107.0,106.0,,
"Dhanalakshmi College of Engineering - Manimangalam, Chennai[Kanchipuram(Dist)]",MECHANICAL ENGINEERING,94.0,,,,,,
"Dhanalakshmi College of Engineering - Manimangalam, Chennai[Kanchipuram(Dist)]",COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),136.0,115.5,96.0,119.5,107.0,,
"G.K.M. College of Engineering and Technology - Perungalathur,Chennai [Kanchipuram(Dist)]",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,107.0,94.0,88.0,,,,
"G.K.M. College of Engineering and Technology - Perungalathur,Chennai [Kanchipuram(Dist)]",AUTOMOBILE ENGINEERING,105.0,,,,,,
"G.K.M. College of Engineering and Technology - Perungalathur,Chennai [Kanchipuram(Dist)]",BIO MEDICAL ENGINEERING,109.0,,,,102.5,,
"G.K.M. College of Engineering and Technology - Perungalathur,Chennai [Kanchipuram(Dist)]",CIVIL ENGINEERING,98.5,,,,,,
"G.K.M. College of Engineering and Technology - Perungalathur,Chennai [Kanchipuram(Dist)]",COMPUTER SCIENCE AND ENGINEERING,126.0,106.0,102.5,,85.0,,
"G.K.M. College of Engineering and Technology - Perungalathur,Chennai [Kanchipuram(Dist)]",ELECTRONICS AND COMMUNICATION ENGINEERING,101.5,,,,,,
"G.K.M. College of Engineering and Technology - Perungalathur,Chennai [Kanchipuram(Dist)]",ELECTRICAL AND ELECTRONICS ENGINEERING,113.5,,,,,,
"G.K.M. College of Engineering and Technology - Perungalathur,Chennai [Kanchipuram(Dist)]",INFORMATION TECHNOLOGY,107.5,103.0,94.5,,,,
